name,source,entity_id,entity_type,country
AEROCARIBBEAN AIRLINES,SDN,36,,Cuba
"ANGLO-CARIBBEAN CO., LTD.",SDN,173,,United Kingdom
BANCO NACIONAL DE CUBA,SDN,306,,Switzerland
BOUTIQUE LA MAISON,SDN,424,,Panama
CASA DE CUBA,SDN,475,,Spain
"CECOEX, S.A.",SDN,480,,Panama
CIMEX,SDN,535,,Mexico
CIMEX IBERICA,SDN,536,,Spain
"CIMEX, S.A.",SDN,537,,Panama
"COMERCIAL IBEROAMERICANA, S.A.",SDN,540,,Spain
"COMERCIAL CIMEX, S.A.",SDN,551,,Panama
"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",SDN,552,,Spain
COMERCIALIZACION DE PRODUCTOS VARIOS,SDN,555,,France
COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,SDN,559,,Spain
"CORPORACION CIMEX, S.A.",SDN,576,,Panama
COTEI,SDN,578,,Italy
"CRYMSA - ARGENTINA, S.A.",SDN,589,,Argentina
CUBACANCUN CIGARS AND GIFT SHOPS,SDN,590,,Mexico
CUBAEXPORT,SDN,591,,Spain
CUBAFRUTAS,SDN,592,,Spain
CUBAN CIGARS TRADE,SDN,593,,Italy
CUBANATUR,SDN,621,,Mexico
CUBATABACO,SDN,622,,Spain
"CUMEXINT, S.A.",SDN,636,,Mexico
"DELVEST HOLDING, S.A.",SDN,651,,Switzerland
EDICIONES CUBANAS,SDN,701,,Spain
"EDYJU, S.A.",SDN,702,,Panama
EMPRESA CUBANA DE AVIACION,SDN,735,,Guyana
EMPRESA CUBANA DE PESCADOS Y MARISCOS,SDN,751,,France
EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,SDN,758,,Argentina
ETCO INTERNATIONAL COMMODITIES LTD.,SDN,767,,United Kingdom
"ETCO INTERNATIONAL COMPANY, LIMITED",SDN,768,,Japan
"GALAX TRADING CO., LTD.",SDN,815,,Canada
HAVIN BANK LIMITED,SDN,906,,United Kingdom
HAVANATUR,SDN,907,,France
INSTITUTO NACIONAL DE TURISMO DE CUBA,SDN,1042,,Spain
INTERCONSULT,SDN,1043,,Panama
"KAVE, S.A.",SDN,1241,,Panama
LA EMPRESA CUBANA DE FLETES,SDN,1287,,"Korea, North"
"LEVERAGE, S.A.",SDN,1316,,Argentina
NIREF,SDN,1555,,Netherlands
NORDSTRAND LTD.,SDN,1570,,Liechtenstein
NORDSTRAND MARITIME AND TRADING COMPANY,SDN,1571,,Greece
PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,SDN,1641,,Panama
"PESCABRAVA, S.A.",SDN,1660,,Spain
PRELASA,SDN,1700,,Mexico
PRENSA LATINA CANADA LTD.,SDN,1701,,Canada
PRENSA LATINA,SDN,1702,,Spain
"SERVINAVES, S.A.",SDN,1888,,Panama
"TROBER, S.A.",SDN,2109,,Panama
TROPIC TOURS GMBH,SDN,2110,,Germany
"VIAJES GUAMA, S.A.",SDN,2184,,Spain
VINALES TOURS,SDN,2186,,Mexico
"ABBAS, Abu",SDN,2674,individual,
"AL RAHMAN, Shaykh Umar Abd",SDN,2675,individual,
"AL ZAWAHIRI, Dr. Ayman",SDN,2676,individual,
"AL-ZOMOR, Abboud Abdul Latif Hassan",SDN,2677,individual,Egypt
"AWDA, Abd Al Aziz",SDN,2678,individual,
"FADLALLAH, Shaykh Muhammad Husayn",SDN,2679,individual,
"HAWATMA, Nayif",SDN,2681,individual,
"ISLAMBOULI, Mohammad Shawqi",SDN,2682,individual,
"JABRIL, Ahmad",SDN,2683,individual,
"NAJI, Talal Muhammad Rashid",SDN,2685,individual,
"NASRALLAH, Hasan",SDN,2686,individual,Lebanon
"TUFAYLI, Subhi",SDN,2690,individual,
"YASSIN, Sheik Ahmed Ismail",SDN,2691,individual,undetermined
COBALT REFINERY CO. INC.,SDN,3748,,Canada
LA COMPANIA GENERAL DE NIQUEL,SDN,3749,,Cuba
INTERNATIONAL COBALT CO. INC.,SDN,3750,,Canada
MOA NICKEL SA,SDN,3751,,Cuba
"ABU MARZOOK, Mousa Mohammed",SDN,3754,individual,
