feature,importance,cumulative_importance
V258,570643.6942443848,0.11136739369330047
V294,329886.6220779419,0.17574839656016725
C14,291682.64838409424,0.23267347373833427
P_emaildomain,233604.1180114746,0.27826388688293047
DeviceInfo,181461.51892852783,0.31367809827705995
D2,166831.19507598877,0.346237041045986
id_31,165129.0837020874,0.378463798058022
card_amt_mean,155249.25383758545,0.4087623975993971
C8,147173.6950531006,0.43748496301734957
C13,112282.40656280518,0.45939810970176015
TransactionAmt,110043.59722137451,0.48087432811753983
R_emaildomain,107315.14869689941,0.5018180597923603
C1,100888.16561889648,0.5215074950262888
id_30,99961.4501953125,0.5410160715519535
id_33,94343.44650650024,0.5594282328628478
card1,84651.16355133057,0.5759488385453486
V70,83878.07864379883,0.5923185682046429
card6,83214.4421005249,0.6085587818928864
card_amt_std,82833.69806671143,0.6247246891949598
M4,79456.93482208252,0.6402315840073366
C11,68804.39865875244,0.653659519215499
card2,65633.14567565918,0.6664685495220015
V91,58929.358337402344,0.6779692619915316
C5,58223.07637023926,0.689332135766463
addr1,57507.2356338501,0.7005553053478404
D15,53300.73162841797,0.7109575294033661
C6,50244.490005493164,0.7207632942892293
C2,47760.08786010742,0.7300842007693863
ProductCD,44926.56269073486,0.7388521136455479
D10,44562.03465270996,0.7475488848654845
D1,38422.843002319336,0.7550475253071726
card1_txn_24.0h,38188.74082946777,0.7625004781348356
V187,38039.237884521484,0.7699242538183435
D3,36012.3264541626,0.7769524554413247
D4,34639.766609191895,0.7837127869131691
V308,33606.74638366699,0.7902715131253577
C4,33511.9090423584,0.7968117307872322
card5,32992.670333862305,0.8032506133038082
V310,32656.402671813965,0.8096238694873792
card3,30734.111282348633,0.8156219693621659
amt_zscore,28306.095413208008,0.821146215233273
V312,27909.80647277832,0.8265931209586985
M5,26986.953384399414,0.8318599217530591
V201,26024.37491607666,0.8369388647715016
dist1,25632.694717407227,0.8419413670909106
id_01,24816.831825256348,0.8467846447928808
M6,24598.502655029297,0.8515853131557826
C9,21729.51335144043,0.855826066698811
V45,21666.34701538086,0.860054492636563
V317,19429.28217315674,0.8638463307638927
TransactionDT_hour,19193.650539398193,0.8675921827860783
